dataset,method,test_env,seed,train_acc,test_acc,best_test_acc,p_train,p_test
colored_mnist,chip_hsic,all,0,0.9009417200139337,0.10195806962025317,0.10195806962025317,0.9,0.1
colored_mnist,chip_hsic,all,2,0.9004586443209699,0.10324367088607594,0.10324367088607594,0.9,0.1
colored_mnist,chip_hsic,all,1,0.8994369669509595,0.10512262658227849,0.10532041139240507,0.9,0.1
colored_mnist,chip_clf,all,2,0.7327480898864234,0.4740901898734177,0.48397943037974683,0.9,0.1
colored_mnist,chip_clf,all,2,0.6559501599147122,0.35551819620253167,0.47399129746835444,0.9,0.1
colored_mnist,chip_hsic,all,1,0.8993314676193286,0.10413370253164557,0.11807753164556962,0.9,0.1
colored_mnist,chip_hsic,all,0,0.9011249556216095,0.10472705696202532,0.10749604430379747,0.9,0.1
colored_mnist,chip_clf,all,1,0.5049584665532305,0.5668512658227848,0.5668512658227848,0.9,0.1
colored_mnist,chip_clf,all,2,0.8012615494382407,0.33633306962025317,0.35977056962025317,0.9,0.1
colored_mnist,chip_hsic,all,2,0.9006640902206079,0.10314477848101265,0.12420886075949367,0.9,0.1
colored_mnist,chip_clf,all,0,0.8103344882729211,0.36639636075949367,0.502373417721519,0.9,0.1
colored_mnist,chip_hsic,all,0,0.9009417200139337,0.10195806962025317,0.10195806962025317,0.9,0.1
colored_mnist,chip_hsic,all,0,0.9011249556216095,0.10472705696202532,0.10749604430379747,0.9,0.1
colored_mnist,chip_hsic,all,1,0.8994369669509595,0.10512262658227849,0.10532041139240507,0.9,0.1
colored_mnist,chip_clf,all,2,0.8246213130351069,0.10205696202531646,0.4052610759493671,0.9,0.1
colored_mnist,chip_hsic,all,1,0.8993314676193286,0.10413370253164557,0.11807753164556962,0.9,0.1
colored_mnist,chip_clf,all,2,0.7455801349967274,0.22171677215189872,0.4957476265822785,0.9,0.1
colored_mnist,chip_clf,all,0,0.5059357232122279,0.505439082278481,0.505439082278481,0.9,0.1
colored_mnist,chip_hsic,all,0,0.9009417200139337,0.10195806962025317,0.10195806962025317,0.9,0.1
colored_mnist,chip_clf,all,1,0.5481076759061834,0.5300632911392406,0.5449960443037974,0.9,0.1
colored_mnist,chip_hsic,all,1,0.8994369669509595,0.10512262658227849,0.10532041139240507,0.9,0.1
colored_mnist,chip_hsic,all,2,0.9004586443209699,0.10324367088607594,0.10324367088607594,0.9,0.1
colored_mnist,chip_hsic,all,2,0.9006640902206079,0.10314477848101265,0.12420886075949367,0.9,0.1
colored_mnist,chip_clf,all,1,0.6543732232122279,0.38666930379746833,0.48061708860759494,0.9,0.1
colored_mnist,chip_clf,all,0,0.5412502220825854,0.5097903481012658,0.5272943037974683,0.9,0.1
colored_mnist,chip_clf,all,2,0.7963419509594882,0.29311708860759494,0.5117681962025317,0.9,0.1
colored_mnist,chip_clf,all,1,0.8269367448048297,0.10413370253164557,0.5087025316455697,0.9,0.1
colored_mnist,chip_hsic,all,1,0.8993314676193286,0.10413370253164557,0.11807753164556962,0.9,0.1
colored_mnist,chip_hsic,all,0,0.9011249556216095,0.10472705696202532,0.10749604430379747,0.9,0.1
colored_mnist,chip_clf,all,0,0.7997123756642535,0.14349287974683544,0.2432753164556962,0.9,0.1
colored_mnist,chip_clf,all,0,0.5703569207110131,0.5041534810126582,0.5041534810126582,0.9,0.1
colored_mnist,chip_clf,all,0,0.5167188610730649,0.516317246835443,0.5453916139240507,0.9,0.1
colored_mnist,chip_clf,all,1,0.8040656094103734,0.10393591772151899,0.19026898734177214,0.9,0.1
colored_mnist,chip_hsic,all,2,0.9006640902206079,0.10314477848101265,0.12420886075949367,0.9,0.1
colored_mnist,chip_clf,all,1,0.6283704247047652,0.47161787974683544,0.47161787974683544,0.9,0.1
colored_mnist,chip_hsic,all,2,0.9004586443209699,0.10324367088607594,0.10324367088607594,0.9,0.1
